date,n_symbols,L1_H1,n_unb,n_edges,balance_rate
2018-02-24,39,0.644997,9.0,292,0.9647
2018-02-25,39,0.623591,17.0,295,0.9339
2018-02-26,39,0.688704,15.0,295,0.9416
2018-02-27,39,0.580663,17.0,294,0.9336
2018-02-28,39,0.879007,12.0,314,0.9565
2018-03-01,39,1.113335,16.0,319,0.9431
2018-03-02,39,1.3803,8.0,300,0.9695
2018-03-03,39,1.358378,9.0,307,0.9665
2018-03-04,39,0.937528,9.0,324,0.9685
2018-03-05,39,1.022708,20.0,325,0.9303
2018-03-06,39,0.956889,81.0,325,0.7178
2018-03-07,39,1.167584,29.0,271,0.8755
2018-03-08,39,1.084027,22.0,296,0.9147
2018-03-09,39,0.770429,23.0,310,0.9154
2018-03-10,39,1.137738,22.0,282,0.9098
2018-03-11,39,0.817482,30.0,301,0.8859
2018-03-12,39,0.857076,33.0,291,0.8696
2018-03-13,39,1.100603,23.0,277,0.9038
2018-03-14,39,1.001225,31.0,273,0.8681
2018-03-15,39,0.843367,14.0,274,0.9407
2018-03-16,39,1.062999,44.0,248,0.7905
2018-03-17,39,0.965104,45.0,226,0.7606
2018-03-18,39,0.999398,38.0,236,0.8081
2018-03-19,39,0.944883,21.0,244,0.8986
2018-03-20,39,0.859204,42.0,233,0.7846
2018-03-21,39,0.903044,19.0,238,0.905
2018-03-22,39,0.98582,24.0,256,0.8899
2018-03-23,39,0.898569,36.0,265,0.8414
2018-03-24,39,0.800743,41.0,269,0.8225
2018-03-25,39,0.81513,28.0,296,0.8915
2018-03-26,39,1.052534,34.0,285,0.8623
2018-03-27,39,0.797963,42.0,259,0.81
2018-03-28,39,0.9932,41.0,260,0.8153
2018-03-29,39,1.194918,40.0,266,0.8246
2018-03-30,39,1.119,30.0,260,0.8649
2018-03-31,39,0.914121,28.0,282,0.8852
2018-04-01,39,0.975171,59.0,324,0.7937
2018-04-02,39,0.966881,41.0,315,0.852
2018-04-03,39,0.983295,31.0,306,0.8843
2018-04-04,39,0.829162,38.0,309,0.8598
2018-04-05,39,0.875176,22.0,312,0.9197
2018-04-06,39,0.667872,24.0,297,0.9073
2018-04-07,39,0.619212,19.0,296,0.9264
2018-04-08,39,0.764308,28.0,284,0.8862
2018-04-09,39,0.815905,16.0,276,0.9328
2018-04-10,39,0.933852,15.0,270,0.9353
2018-04-11,39,0.81887,15.0,257,0.9315
2018-04-12,39,0.937716,20.0,252,0.9065
